Date,Clicks,Impressions,CTR,Position
2026-05-22,0,0,,
2026-05-23,0,0,,
2026-05-24,0,7,0%,30.1
2026-05-25,0,26,0%,34.5
2026-05-26,0,35,0%,32.6
2026-05-27,0,39,0%,28.8
2026-05-28,0,70,0%,21.7
2026-05-29,0,128,0%,12.2
2026-05-30,2,188,1.06%,11.4
2026-05-31,1,345,0.29%,9.3
2026-06-01,2,238,0.84%,11.1
2026-06-02,1,123,0.81%,27.8
2026-06-03,1,102,0.98%,13.8
2026-06-04,0,151,0%,33.5
2026-06-05,1,130,0.77%,16.2
2026-06-06,0,132,0%,18.2
2026-06-07,1,141,0.71%,16.9
2026-06-08,1,152,0.66%,17.3
2026-06-09,1,172,0.58%,20.1
2026-06-10,0,147,0%,18.2
2026-06-11,0,166,0%,15.9
2026-06-12,1,158,0.63%,17
2026-06-13,2,140,1.43%,20.7
2026-06-14,0,192,0%,25.2
2026-06-15,0,313,0%,35.3
2026-06-16,4,421,0.95%,23.7
2026-06-17,1,626,0.16%,16.7
2026-06-18,4,530,0.75%,24.6
2026-06-19,2,390,0.51%,26.2
2026-06-20,2,277,0.72%,31.1
2026-06-21,4,317,1.26%,23.9
2026-06-22,1,518,0.19%,25.5
2026-06-23,5,437,1.14%,29.4
2026-06-24,3,380,0.79%,23.4
2026-06-25,1,382,0.26%,20.6
2026-06-26,2,326,0.61%,19.2
2026-06-27,3,338,0.89%,19.1
2026-06-28,1,408,0.25%,16
2026-06-29,0,207,0%,13.6
