Country,Clicks,Impressions,CTR,Position
United Kingdom,6,873,0.69%,42.9
Netherlands,4,1001,0.4%,7.29
Portugal,4,513,0.78%,13.55
Macedonia,4,490,0.82%,8.11
Germany,3,618,0.49%,11.87
France,3,135,2.22%,13.36
United States,2,2279,0.09%,24.96
Spain,2,539,0.37%,30.94
Greece,2,396,0.51%,18.67
Austria,2,39,5.13%,13.46
Turkey,1,169,0.59%,16.51
Czechia,1,144,0.69%,16.45
Switzerland,1,116,0.86%,16.24
Ireland,1,57,1.75%,15.93
Australia,1,51,1.96%,11.75
Poland,1,44,2.27%,21.77
Denmark,1,30,3.33%,13.1
Luxembourg,1,23,4.35%,9.87
Bulgaria,1,20,5%,9.3
Kosovo,1,18,5.56%,8.28
Iran,1,17,5.88%,3.18
Bosnia & Herzegovina,1,7,14.29%,8.86
Lithuania,1,7,14.29%,31.14
Montenegro,1,5,20%,7.2
Mauritius,1,1,100%,5
Canada,0,143,0%,19.86
United Arab Emirates,0,143,0%,67.55
Italy,0,136,0%,14.33
India,0,105,0%,50.65
Norway,0,55,0%,31.24
Sweden,0,51,0%,14.08
Serbia,0,35,0%,7.83
Russia,0,32,0%,35.5
Hungary,0,31,0%,13.42
Brazil,0,30,0%,10.33
Belgium,0,29,0%,9.9
South Korea,0,28,0%,31.39
Croatia,0,22,0%,8.55
Finland,0,21,0%,6.24
Indonesia,0,18,0%,17.78
Albania,0,17,0%,7.12
Egypt,0,17,0%,12.82
Slovenia,0,16,0%,7.69
Slovakia,0,16,0%,37.5
Singapore,0,15,0%,44
Israel,0,13,0%,36.69
Thailand,0,12,0%,6.83
Vietnam,0,12,0%,7.83
Romania,0,12,0%,15.42
Philippines,0,12,0%,16.58
China,0,11,0%,6.55
Georgia,0,11,0%,15.36
Hong Kong,0,10,0%,5.6
Nigeria,0,9,0%,6.33
Morocco,0,9,0%,15.33
Estonia,0,9,0%,27.11
Mexico,0,8,0%,20.12
New Zealand,0,8,0%,34.5
Japan,0,7,0%,7.43
Algeria,0,7,0%,10.86
Malta,0,6,0%,6.5
Ukraine,0,6,0%,8.5
Saudi Arabia,0,6,0%,10
Colombia,0,6,0%,11.5
Malaysia,0,5,0%,4.2
Argentina,0,5,0%,5.4
Bangladesh,0,5,0%,8
Pakistan,0,5,0%,10.2
Azerbaijan,0,4,0%,8.5
Panama,0,4,0%,8.5
Taiwan,0,4,0%,8.75
Angola,0,4,0%,9.5
Qatar,0,4,0%,10
Chile,0,4,0%,18.25
Andorra,0,3,0%,4.67
Jamaica,0,3,0%,5.33
Bahamas,0,3,0%,7.67
Iraq,0,3,0%,9
St. Lucia,0,3,0%,10.33
Tajikistan,0,3,0%,11.33
Uzbekistan,0,3,0%,19
Guatemala,0,3,0%,23
Barbados,0,2,0%,4.5
Belarus,0,2,0%,6.5
Sri Lanka,0,2,0%,6.5
Ethiopia,0,2,0%,7
South Africa,0,2,0%,8.5
Mozambique,0,2,0%,9
Somalia,0,2,0%,9
Kenya,0,2,0%,10
Ecuador,0,2,0%,11
Venezuela,0,2,0%,33
Peru,0,2,0%,34
Lebanon,0,2,0%,38.5
Aruba,0,1,0%,1
Burkina Faso,0,1,0%,1
Gibraltar,0,1,0%,1
Latvia,0,1,0%,1
Nicaragua,0,1,0%,1
Trinidad & Tobago,0,1,0%,2
Faroe Islands,0,1,0%,5
Kuwait,0,1,0%,5
Swaziland,0,1,0%,6
Bahrain,0,1,0%,7
Cuba,0,1,0%,7
Kyrgyzstan,0,1,0%,7
Moldova,0,1,0%,7
Madagascar,0,1,0%,7
Maldives,0,1,0%,7
Antigua & Barbuda,0,1,0%,8
Cayman Islands,0,1,0%,8
Honduras,0,1,0%,8
Iceland,0,1,0%,8
Congo - Kinshasa,0,1,0%,9
Gambia,0,1,0%,9
Monaco,0,1,0%,9
Nepal,0,1,0%,9
Dominican Republic,0,1,0%,10
Zimbabwe,0,1,0%,10
Bermuda,0,1,0%,11
Curaçao,0,1,0%,11
Cyprus,0,1,0%,11
Eritrea,0,1,0%,12
Kazakhstan,0,1,0%,12
Seychelles,0,1,0%,13
Puerto Rico,0,1,0%,16
Ghana,0,1,0%,32
Paraguay,0,1,0%,48
